State,Postcode,Associated residential areas,Reporting Year,Age group,Percent fully immunised (%),Interpret with caution  (#)
NSW,2317,"Salamander Bay, Soldiers Point",2016-17,1 year,90.0-92.4,#
NSW,2318,"Medowie, Salt Ash, Williamtown, Fullerton Cove, Campvale and 2 others",2016-17,1 year,92.5-94.9, 
NSW,2319,"Tanilba Bay, Lemon Tree Passage, Mallabula, Tilligerry Creek",2016-17,1 year,95.0-100.0,#
NSW,2320,"Rutherford, Aberglasslyn, Bolwarra Heights, Telarah, Maitland and 25 others",2016-17,1 year,95.0-100.0, 
NSW,2321,"Heddon Greta, Clarence Town, Gillieston Heights, Morpeth, Raworth and 15 others",2016-17,1 year,95.0-100.0, 
NSW,2322,"Thornton, Woodberry, Beresfield, Tarro, Black Hill and 5 others",2016-17,1 year,92.5-94.9, 
NSW,2323,"East Maitland, Metford, Ashtonfield, Tenambit, Mulbring and 8 others",2016-17,1 year,95.0-100.0, 
NSW,2324,"Raymond Terrace, Tea Gardens, Karuah, Hawks Nest, Seaham and 18 others",2016-17,1 year,95.0-100.0, 
NSW,2325,"Cessnock, Aberdare, Bellbird, Paxton, Bellbird Heights and 29 others",2016-17,1 year,95.0-100.0, 
NSW,2326,"Weston, Abermain, Sawyers Gully, Neath, Bishops Bridge and 1 other",2016-17,1 year,95.0-100.0, 
NSW,2327,"Kurri Kurri, Pelaw Main, Stanford Merthyr",2016-17,1 year,92.5-94.9,#
NSW,2328,"Denman, Martindale, Giants Creek, Bureen, Dalswinton and 5 others",2016-17,1 year,95.0-100.0,#
NSW,2329,"Merriwa, Cassilis, Uarbry",2016-17,1 year,NP, 
NSW,2330,"Singleton, Singleton Heights, Hunterview, Wattle Ponds, Jerrys Plains and 58 others",2016-17,1 year,95.0-100.0, 
NSW,2333,"Muswellbrook, Muscle Creek, Sandy Hollow, Castle Rock, Baerami and 9 others",2016-17,1 year,95.0-100.0, 
NSW,2334,Greta,2016-17,1 year,92.5-94.9,#
NSW,2335,"Branxton, East Branxton, North Rothbury, Lambs Valley, Lower Belford and 5 others",2016-17,1 year,95.0-100.0,#
NSW,2336,"Aberdeen, Rouchel, Dartbrook, Davis Creek, Rossgole and 3 others",2016-17,1 year,95.0-100.0,#
NSW,2337,"Scone, Middle Brook, Glenrock, Parkville, Segenhoe and 20 others",2016-17,1 year,95.0-100.0, 
NSW,2338,"Murrurundi, Blandford, Ardglen, Crawney, Green Creek and 4 others",2016-17,1 year,NP, 
NSW,2339,"Willow Tree, Parraweena, Big Jacks Creek, Braefield, Cattle Creek and 5 others",2016-17,1 year,NP, 
